valence,field,avg_rank_mean,avg_rank_std,n_models,avg_similarity_mean,avg_similarity_std
negative,AI,2.025,1.6321346869555944,12,0.6560285876194636,0.181809070660319
negative,Computer_Science,3.3666666666666667,2.087771031216757,12,0.6099773151023934,0.19849004261492612
negative,Earth_Science,3.466666666666667,1.5149757473806358,12,0.6233263604342937,0.18949523334304375
negative,Electrical_Engineering,4.320833333333334,1.3058362582396512,12,0.6089290293554465,0.18513141362834712
negative,Mechanical_Engineering,4.4125000000000005,1.3977457500626436,12,0.6148954572776953,0.1872792479149315
negative,Civil_Engineering,4.575,0.9316407813393237,12,0.608617960413297,0.18938351190451078
negative,Archaeology,7.933333333333334,1.8700186354605388,12,0.5185200361845393,0.2595073214846718
negative,Economics,8.987499999999999,1.2774486291041216,12,0.49799163481220604,0.2220328810382419
negative,Literature,9.245833333333334,2.082116311192373,12,0.49457061281427744,0.23604013292256915
negative,Mathematics,9.695833333333333,2.019952557198642,12,0.48760233707726,0.21704681879064228
negative,Biology,10.825000000000001,1.4930901452418008,12,0.4672541200493772,0.2255550003020919
negative,Chemistry,11.145833333333334,1.9592969904967696,12,0.46756383768903714,0.22715395002414077
negative,Statistics,11.9,1.9945379961740057,12,0.3968240946608906,0.2807855035716377
negative,Physics,13.1,1.203026486521692,12,0.3887882640507693,0.28652955496588456
positive,AI,2.4833333333333334,1.531388753762909,12,0.6652330252031485,0.177428688151086
positive,Earth_Science,3.0500000000000003,1.261672771291424,12,0.655277331918478,0.17533585800841303
positive,Computer_Science,3.345833333333333,1.4794744664811545,12,0.6435594882816077,0.18090720051025616
positive,Electrical_Engineering,4.154166666666666,1.2309379892315175,12,0.6349361968537172,0.1769158177856699
positive,Mechanical_Engineering,4.325,1.1871470767424657,12,0.6408053061614434,0.17873715788854128
positive,Civil_Engineering,4.333333333333333,1.0156353437701702,12,0.6348585986842712,0.1812913038141143
positive,Archaeology,7.820833333333333,0.965650589295145,12,0.549146329704672,0.22533323024315946
positive,Literature,8.945833333333333,2.206957833486603,12,0.5190726823018242,0.2297239971820061
positive,Economics,9.641666666666667,1.4325491159806596,12,0.4913409140271445,0.23009102436077472
positive,Mathematics,10.129166666666666,1.5410236169114309,12,0.48462190428593505,0.22224526629088845
positive,Biology,10.995833333333332,1.4620126745709359,12,0.4698901237687096,0.22530967078889202
positive,Chemistry,11.183333333333332,1.7734575030576616,12,0.47452258947887455,0.2239812181928227
positive,Statistics,11.5625,2.161557203835824,12,0.42884421190246935,0.24280099830048016
positive,Physics,13.029166666666667,1.295176073206288,12,0.42000366140079376,0.2522581091919199
